,Continent,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,html_link
0,North America, United States,"Wallops Flight Facility, Delmarva Peninsula, Virginia",37.84621; -75.47938,1945–,1600+, , ,Now operated by NASA's Goddard Space Flight Center.[61],"<a href=""https://en.wikipedia.org/wiki/Goddard_Space_Flight_Center"">Goddard_Space_Flight_Center text</a>"
0,North America, United States,"White Sands Missile Range, New Mexico",32.56460; -106.35908,1945–,7500+, , ,Military and civilian flights. Served as alternate landing site for the Space Shuttle.[62],
0,North America, United States,Nevada Test and Training Range (formerly Nellis Air Force Range),36.77150; -116.11374,1946–1960s,2000+, , ,[63],
0,North America, United States,"Poker Flat Research Range, Alaska",65.12599; -147.47894,1949–,5000+, , ,no notes found,
0,North America, United States,"Cape Canaveral Space Force Station, Florida",28.46675; -80.55852,1949–,1000+, ,Interstellar  ,no notes found,
0,North America, United States,"Vandenberg Space Force Base, California",34.77204; -120.60124,1958–,500+, ,Interplanetary ,"Satellites, ballistic missile tests. Government and commercial launches.[64] Also launches SpaceX rockets.",
0,North America, United States,"Kennedy Space Center, Florida",28.6082; -80.6040,1962–,151  ,"3,000,000 kg",Interplanetary  ,no notes found,
0,North America, United States,"Pacific Missile Range Facility, Hawaii",22.02278; -159.785,1963–, , , ,no notes found,
0,North America, United States,"Keweenaw, Michigan",47.42980; -87.71443,1964–1971[65],50+,770 kg,<160 km,no notes found,
0,North America, United States,"Pacific Spaceport Complex, Kodiak, Alaska",57.43533; -152.33931,1991–,26  ,"86,000 kg",Orbital  ,"Ballistic missile interceptor tests, satellite launches. Alaska Aerospace Corporation.[66]","<a href=""https://en.wikipedia.org/wiki/Alaska_Aerospace_Corporation"">Alaska_Aerospace_Corporation text</a>"
0,North America, United States,"Mid-Atlantic Regional Spaceport (MARS), Delmarva Peninsula, Virginia",37.833378; -75.483284,1995–,22  ,"89,805 kg",Lunar  ,"Operates in partnership with NASA, adjacent to Wallops Flight Facility. Designed for both commercial and government launches.[67] In 2019, Rocket Lab built their first US launch facility here.[68]",
0,North America, United States,"Mojave Air and Space Port, California",35.05910; -118.14880,2003–,20+, ,112 km,"Adjacent to Edwards AFB. Privately funded, horizontal-launch spaceport. Xoie, Xombie, Xodiac (Masten Space Systems); SpaceShipOne, SpaceShipTwo (Scaled Composites, Virgin Galactic); Launcher One (Virgin Orbit).","<a href=""https://en.wikipedia.org/wiki/Masten_Space_Systems"">Masten_Space_Systems text</a>"
0,North America, United States,"Spaceport America, Upham, New Mexico",32.88943; -106.99945,2006–,50+, , ,Sub-orbital commercial and planned space tourist launches. Operated by the state of New Mexico with Virgin Galactic as the anchor tenant.[69][70][71][72] Adjacent to White Sands Missile Range.,"<a href=""https://en.wikipedia.org/wiki/US_state"">US_state text</a>"
0,North America, United States,"Corn Ranch, Van Horn, Texas",31.2524; -104.4532,2006–,20, ,~105 km,Used by Blue Origin for suborbital launches and engine tests.,"<a href=""https://en.wikipedia.org/wiki/Blue_Origin"">Blue_Origin text</a>"
0,North America, United States,"Spaceport Camden, Camden County, Georgia",30.5539; -81.3053,2016–2019,2, ,~10 km,Originally Thiokol rocket testing facility. Used by Vector Space for testing and launching. Project and site abandoned in 2023 due to local pushback and financial issues.,"<a href=""https://en.wikipedia.org/wiki/Thiokol"">Thiokol text</a>"
0,North America, United States,"SpaceX Starbase Spaceport, Boca Chica, Texas",25.996; -97.154,2018–,~10,"~5,000,000 kg",Orbital  ,no notes found,
0,North America, United States,"Maine Spaceport Complex, Washington County, Maine",44.4444; -67.6000,2020–,1, ,~2 km,Launch site to be used for suborbital and polar low-Earth orbital launch on the east coast by companies BluShift Aerospace and VALT Enterprises[73][74] and funded by Maine Space Grant Consortium.,"<a href=""https://en.wikipedia.org/wiki/BluShift_Aerospace"">BluShift_Aerospace text</a>"
0,South America, Argentina,Pampa de Achala,-31.5833; -64.8333,1961–1962,8  ,28 kg  ,25 km  ,no notes found,
0,South America, Argentina,CELPA,-30.12737; -66.34082,"1962–1991, 2010–",100 (approximately) ,933 kg  ,550 km  ,Military Launch Test Site (CITIDEF),"<a href=""https://en.wikipedia.org/w/index.php?title=CITIDEF&action=edit&redlink=1"">ndex.php?title=CITIDEF&action=edit&redlink=1 text</a>"
0,South America, Argentina,Las Palmas,-27.09531; -58.75352,1966–1966,2  ,"3,400 kg  ",270 km  ,"During a solar eclipse, with Titus rockets.","<a href=""https://en.wikipedia.org/wiki/Solar_eclipse"">Solar_eclipse text</a>"
